"Timestamp","Which is the age range that you fit in?","What is your gender?","What is the highest level of education you're currently enrolled in/already completed?","Which Faculty are/were you apart of?","Which religion do you follow?","Have you experimented with ChatGPT yet?","Do you think that using ChatGPT on academic subjects is plagiarism? ","Do you think that the use of AI tools such as ChatGPT would inhibit education?","Do you think that ChatGPT should be integrated into search engines?","Should Universities and Colleges prohibit the use of AI tools for academic work?","Any Further Comments?",""
"2023/02/18 3:19:00 PM EST","17-20","Female","College Diploma/Bachelors Degree","science (comp sci)","Agnostic","Not yet, but plan on doing so","I don't know/can not decide","No","I do not know/can not decide","Sort of, limit the usage to a degree","",""
"2023/02/18 3:54:12 PM EST","17-20","Male","College Diploma/Bachelors Degree","Engineering","Islam","Not yet, but plan on doing so","No","I do not know/can not decide","Yes","No, it would be unjust","",""
"2023/02/18 3:56:36 PM EST","17-20","Male","College Diploma/Bachelors Degree","Toronto Metropolitan University ","Hinduism","Yes","No","No","Yes","No, it would be unjust","",""
"2023/02/18 3:58:44 PM EST","17-20","Male","College Diploma/Bachelors Degree","Science","Sikhism","Yes","I don't know/can not decide","No","Yes","Sort of, limit the usage to a degree","",""
"2023/02/18 4:21:23 PM EST","17-20","Male","College Diploma/Bachelors Degree","Science","Islam","Yes","I don't know/can not decide","No","Yes","Sort of, limit the usage to a degree","",""
"2023/02/18 4:25:51 PM EST","17-20","Male","College Diploma/Bachelors Degree","Computer science","Islam","Yes","Yes","Yes","Yes","No, it would be unjust","No, love ChatGPT",""
"2023/02/18 4:34:02 PM EST","17-20","Female","College Diploma/Bachelors Degree","Community Services","Agnostic","No, don't plan on doing so","Yes","I do not know/can not decide","I do not know/can not decide","Other opinion","",""
"2023/02/18 4:37:26 PM EST","17-20","Female","College Diploma/Bachelors Degree","Creative Industries ","Hinduism","Yes","No","No","No","No, it would be unjust","I like chatgpt.",""
"2023/02/18 4:46:16 PM EST","17-20","Female","College Diploma/Bachelors Degree","FOA","Hinduism","No, don't plan on doing so","I don't know/can not decide","Yes","Yes","Sort of, limit the usage to a degree","",""
"2023/02/18 4:49:53 PM EST","17-20","Female","College Diploma/Bachelors Degree","Science ","Buddhism","Yes","Yes","Yes","Yes","Sort of, limit the usage to a degree","",""
"2023/02/18 4:52:22 PM EST","21-24","Male","College Diploma/Bachelors Degree","Nutrition faculty","Atheism","Not yet, but plan on doing so","I don't know/can not decide","I do not know/can not decide","I do not know/can not decide","Yes, completely disallow the use of them","",""
"2023/02/18 4:56:41 PM EST","17-20","Female","College Diploma/Bachelors Degree","Science","Islam","Yes","Yes","Yes","I do not know/can not decide","Sort of, limit the usage to a degree","",""
"2023/02/18 4:57:18 PM EST","17-20","Male","College Diploma/Bachelors Degree","Science, MathApps","Islam","Yes","No","No","Yes","Sort of, limit the usage to a degree","-",""
"2023/02/18 5:00:22 PM EST","17-20","Male","College Diploma/Bachelors Degree","Faculty of Science ","Atheism","Yes","No","No","No","Sort of, limit the usage to a degree","",""
"2023/02/18 5:03:42 PM EST","17-20","Female","College Diploma/Bachelors Degree","i’m smart","Atheism","Yes","No","I do not know/can not decide","I do not know/can not decide","Sort of, limit the usage to a degree","no",""
"2023/02/18 5:04:52 PM EST","21-24","Male","College Diploma/Bachelors Degree","Faculty of Engineering","Islam","Not yet, but plan on doing so","No","No","Yes","No, it would be unjust","",""
"2023/02/18 5:10:22 PM EST","17-20","Female","College Diploma/Bachelors Degree","Computer Science ","Buddhism","Yes","I don't know/can not decide","No","Yes","Sort of, limit the usage to a degree","",""
"2023/02/18 5:19:57 PM EST","17-20","Male","College Diploma/Bachelors Degree","Science","Christianity","Yes","Yes","I do not know/can not decide","Yes","Sort of, limit the usage to a degree","☺️☺️☺️",""
"2023/02/18 5:20:16 PM EST","17-20","Male","College Diploma/Bachelors Degree","Business ","Christianity","Yes","I don't know/can not decide","I do not know/can not decide","Yes","Sort of, limit the usage to a degree","",""
"2023/02/18 5:32:06 PM EST","17-20","Male","College Diploma/Bachelors Degree","Faculty of Science","Hinduism","Yes","Yes","I do not know/can not decide","Yes","Sort of, limit the usage to a degree","",""
"2023/02/18 5:40:18 PM EST","17-20","Male","College Diploma/Bachelors Degree","Computer science ","Islam","No, don't plan on doing so","No","Yes","Yes","No, it would be unjust","Hamoodi the 🐐",""
"2023/02/18 5:40:20 PM EST","17-20","Male","College Diploma/Bachelors Degree","Faculty of Science","Islam","Yes","No","Yes","I do not know/can not decide","Sort of, limit the usage to a degree","",""
"2023/02/18 5:47:09 PM EST","21-24","Female","College Diploma/Bachelors Degree","The Creative School","Agnostic","No, don't plan on doing so","I don't know/can not decide","Yes","No","Sort of, limit the usage to a degree","",""
"2023/02/18 5:49:32 PM EST","17-20","Female","College Diploma/Bachelors Degree","Arts","Atheism","No, don't plan on doing so","Yes","No","I do not know/can not decide","Sort of, limit the usage to a degree","",""
"2023/02/18 6:07:58 PM EST","17-20","Female","College Diploma/Bachelors Degree","Chemical engineering ","Other","No, don't plan on doing so","Yes","Yes","Yes","Yes, completely disallow the use of them","",""
"2023/02/18 6:10:15 PM EST","34+","Other","Doctorate of Philosophy","Nick car","Other","Yes","I don't know/can not decide","I do not know/can not decide","I do not know/can not decide","Other opinion","Nick car",""
"2023/02/18 6:19:58 PM EST","17-20","Female","College Diploma/Bachelors Degree","Engineering","Buddhism","Not yet, but plan on doing so","No","No","Yes","No, it would be unjust","Slay",""
"2023/02/18 6:23:01 PM EST","21-24","Male","College Diploma/Bachelors Degree","Shiraz university","Islam","No, don't plan on doing so","I don't know/can not decide","No","I do not know/can not decide","No, it would be unjust","",""
"2023/02/18 6:23:08 PM EST","17-20","Male","College Diploma/Bachelors Degree","Cs","Christianity","Yes","No","Yes","Yes","No, it would be unjust","",""
"2023/02/18 6:24:40 PM EST","17-20","Male","College Diploma/Bachelors Degree","Faculty of Science","Islam","No, don't plan on doing so","Yes","Yes","Yes","Yes, completely disallow the use of them","I think ChatGPT is still in its infancy and shouldn’t really be used on a mass, widespread scale (in all cases) until it’s meticulously tested enough to be a reliable source of information. ChatGPT is also notorious for plagiarizing work from other sources, which can prove to be an issue academically.",""
"2023/02/18 6:30:48 PM EST","17-20","Male","College Diploma/Bachelors Degree","Science","Atheism","Yes","I don't know/can not decide","Yes","Yes","Sort of, limit the usage to a degree","",""
